goal_eng,goal_fre,accepted_values,  target_value , duration_type , duration ,achievement_tags,category_name,category_level_name,evaluation_name_eng,evaluation_name_fre,evaluation_level_name ,evaluation_group_name_eng,evaluation_group_name_fre
Fwd perimeter skating with jumps,Patinage avant périmétrique et sauts," a:1:{s:4:""type"";s:4:""bool"";}                                                                                                                                  ",1, Months        ,1, CanSkate 5 - Balance                                           , CanSkate                                            , CanSkate 5                                                             ,CanSkate - Balance,Patinage plus - Équilibre, CanSkate 5 , CanSkate 5 - Balance ,Patinage plus étape 5 - Équilibre
Inside spread eagle,Grand aigle intérieur," a:1:{s:4:""type"";s:4:""bool"";}                                                                                                                                  ",1, Months        ,1, CanSkate 5 - Balance                                           , CanSkate                                            , CanSkate 5                                                             ,CanSkate - Balance,Patinage plus - Équilibre, CanSkate 5 , CanSkate 5 - Balance ,Patinage plus étape 5 - Équilibre
Fwd 1-ft slalom,Slalom avant sur un pied," a:1:{s:4:""type"";s:4:""bool"";}                                                                                                                                  ",1, Months        ,1, CanSkate 5 - Balance                                           , CanSkate                                            , CanSkate 5                                                             ,CanSkate - Balance,Patinage plus - Équilibre, CanSkate 5 , CanSkate 5 - Balance ,Patinage plus étape 5 - Équilibre
Running lateral crossovers,Pas croisés latéraux courus," a:1:{s:4:""type"";s:4:""bool"";}                                                              ",1, Months        ,1, CanSkate 5 - Balance                                           , CanSkate                                            , CanSkate 5                                             ,CanSkate - Balance,Patinage plus - Équilibre, CanSkate 5 , CanSkate 5 - Balance,Patinage plus étape 5 - Équilibre
Fwd power crosscuts CW,Croisés avant puissants SA," a:1:{s:4:""type"";s:4:""bool"";}   ",1, Months        ,1, CanSkate 6 - Balance , CanSkate   , CanSkate 6   ,CanSkate - Balance,Patinage plus - Équilibre, CanSkate 6, CanSkate 6 - Balance,Patinage plus étape 6 - Équilibre
Fwd power crosscuts CWW,Croisés avant puissants SCA," a:1:{s:4:""type"";s:4:""bool"";}                                                             ",1, Months        ,1, CanSkate 6 - Balance                                           , CanSkate                                            , CanSkate 6                                             ,CanSkate - Balance,Patinage plus - Équilibre, CanSkate 6 , CanSkate 6 - Balance,Patinage plus étape 6 - Équilibre
Fwd perimeter skating with crosscuts CW,Poussées-élans périmétriques avant et croisés SA," a:1:{s:4:""type"";s:4:""bool"";}   ",1, Months        ,1, CanSkate 6 - Balance , CanSkate   , CanSkate 6   ,CanSkate - Balance,Patinage plus - Équilibre, CanSkate 6, CanSkate 6 - Balance,Patinage plus étape 6 - Équilibre
Fwd perimeter skating with crosscuts CCW,Poussées-élans périmétriques avant et croisés SCA," a:1:{s:4:""type"";s:4:""bool"";}                                                                                                                                  ",1, Months        ,1, CanSkate 6 - Balance                                           , CanSkate                                            , CanSkate 6                                             ,CanSkate - Balance,Patinage plus - Équilibre, CanSkate 6 , CanSkate 6 - Balance,Patinage plus étape 6 - Équilibre
FO edges,Courbes AVE," a:1:{s:4:""type"";s:4:""bool"";}                                                                                                                                  ",1, Months        ,1, CanSkate 6 - Balance                                           , CanSkate                                            , CanSkate 6                                             ,CanSkate - Balance,Patinage plus - Équilibre, CanSkate 6 , CanSkate 6 - Balance,Patinage plus étape 6 - Équilibre
Fwd 1-ft slalom,Slalom avant sur un pied," a:1:{s:4:""type"";s:4:""bool"";}                                                                                                                                  ",1, Months        ,1, CanSkate 6 - Balance                                           , CanSkate                                            , CanSkate 6                                             ,CanSkate - Balance,Patinage plus - Équilibre, CanSkate 6 , CanSkate 6 - Balance,Patinage plus étape 6 - Équilibre
Fwd shoot the duck,Tir au canard avant," a:1:{s:4:""type"";s:4:""bool"";}                                                                                                                                  ",1, Months        ,1, CanSkate 6 - Balance                                           , CanSkate                                            , CanSkate 6                                             ,CanSkate - Balance,Patinage plus - Équilibre, CanSkate 6 , CanSkate 6 - Balance,Patinage plus étape 6 - Équilibre
Fwd perimeter skating with side stops,Patinage avant périmétrique et arrts de cté," a:1:{s:4:""type"";s:4:""bool"";}                                                                                                                                  ",1, Months        ,1, CanSkate 6 - Balance                                           , CanSkate                                            , CanSkate 6                                             ,CanSkate - Balance,Patinage plus - Équilibre, CanSkate 6 , CanSkate 6 - Balance,Patinage plus étape 6 - Équilibre
Fwd spiral on a curve,Arabesque avant sur une courbe," a:1:{s:4:""type"";s:4:""bool"";}                                                          ",1, Months        ,1, CanSkate 6 - Balance                                           , CanSkate                                            , CanSkate 6                                             ,CanSkate - Balance,Patinage plus - Équilibre, CanSkate 6 , CanSkate 6 - Balance,Patinage plus étape 6 - Équilibre
"Fwd ""crossover"" acceleration",Croisés avant avec accélération," a:1:{s:4:""type"";s:4:""bool"";}   ",1, Months        ,1, CanSkate 6 - Balance , CanSkate   , CanSkate 6   ,CanSkate - Balance,Patinage plus - Équilibre, CanSkate 6, CanSkate 6 - Balance,Patinage plus étape 6 - Équilibre
